Card   1:  9 39 27 89 87 29 54 19 43 45 |  9 80 29 20 54 58 78 77 39 35 76 79 19 87 45 89 23 31 94 34 67 43 56 50 27
Card   2: 89 59 76  2 60 83 21 37 92 45 | 79  5 41 92 45 59 72 50 89 37 64 65 60 54 57 22 66 21 25 76  1 39 83  2 33
Card   3: 40 25 13 65 86  5 35 87  9 30 | 87 76 30 93  5 45 16 40 48 89 78 59 18 12 71 85 66 21 80 28 50 60 49 72 27
Card   4: 21 34 70 83 66 44 90 68 76 12 | 46 80 70 73 44 99 32 98 66 68 76 28 85 74 17 38 27 22 83 16 12 90 33 34 21
Card   5:  5 67 90 43 26 31 17 47 14  1 | 83 64 47 24 33  5 90 20 19 61 14 56 67 26  1 70 31  9 17 57 43 95 82 91 49
Card   6:  8  1 42 80 94 21 15 89 60 73 | 53 23 64 63 15 89 29 93 78 80 62 52 21 40 94  4 42 61 22  1 73 97 28 60  8
Card   7: 67 32 20 69 40 22 35 44 86 72 | 84 53 39 52 43 46 41 16 25 77 32  5  7 29 13 31 22 98 58 82  2 85 34 89 79
Card   8: 94 12 71  3  2 93 87 18 83 67 | 89 80 82 62 88 64 24 45 54 84  2  7 43 37 16 49 67 13 95 53 50 42  6 83 68
Card   9: 64 68 80 83 33  1 93 66  8 73 | 51 61 20 32 39  3  8 65 21 56  6 25 86 85 76 95 14 28 62 71 69 12 83  1 22
Card  10: 60 88 52 64 87 34 93 37 56 78 | 16 57 87 20 68 98 93 63 12 96 29 51 14 10 45 52 64 83 85 72 49 82 31 44 35
